"";"Lp";"kod";"Pytanie";"Minimum";"Maksimum";"Min";"Max";"n";"Œrednia";"SD"
"cet.pol_nieprodukowane";40;"cet.pol_nieprodukowane";"Z zagranicy nale¿y sprowadzaæ jedynie te produkty, których nie mo¿na wyprodukowaæ w Polsce";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;4,287;1,867
"mgr.nowe_marki";41;"mgr.nowe_marki";"Mam szczególne zaufanie do niektórych marek, producentów i dostawców";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;5,205;1,339
"mgr.hed_przepis";42;"mgr.hed_przepis";"Korzystam z podanego na opakowaniu sposobu przygotowania lub przepisu";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;3,99;1,793
"mgr.hed_przyjemnosc";43;"mgr.hed_przyjemnosc";"Wa¿ne, by ¿ywnoœæ sprawia³a przyjemnoœæ";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;5,667;1,291
"mgr.hed_niesmaczna";44;"mgr.hed_niesmaczna";"Jeœli produkt mi nie smakowa³, nie kupiê go nigdy wiêcej";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;5,523;1,603
"mgr.pol_swieza";45;"mgr.pol_swieza";"Polska ¿ywnoœæ jest œwie¿sza ni¿ zagraniczna";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;4,313;1,446
"mgr.pol_tania";46;"mgr.pol_tania";"Polska ¿ywnoœæ jest tañsza ni¿ zagraniczna";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;4,087;1,279
"mgr.pol_smaczna";47;"mgr.pol_smaczna";"Polska ¿ywnoœæ jest smaczniejsza ni¿ zagraniczna";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;4,39;1,397
"mgr.nowe_sklad";48;"mgr.nowe_sklad";"Nie kupujê produktów, których sk³adników nie znam";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;3,944;1,603
"mgr.hed_wrazenie";49;"mgr.hed_wrazenie";"Lubiê kupowaæ takie produkty ¿ywnoœciowe, które zrobi¹ na innych wra¿enie";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;3,292;1,693
"mgr.hed_zakupy";50;"mgr.hed_zakupy";"Kupowanie ró¿nych produktów ¿ywnoœciowych wywo³uje we mnie pozytywne uczucia i emocje";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;4,913;1,579
"mgr.hed_szybko";51;"mgr.hed_szybko";"Staram siê, by zrobiæ zakupy tak szybko i skutecznie, jak to mo¿liwe";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;5,046;1,462
"ziemniak.cena";52;"ziemniak.cena";"W jakim stopniu cena jest wa¿na dla Pana Pani przy ich wyborze ";"Wcale";"W najwy¿szym stopniu";0;10;172;4,773;2,497
"ziemniak.miejsce";53;"ziemniak.miejsce";"W jakim stopniu miejsce zakupu jest wa¿ne dla Pana Pani przy ich wyborze ";"Wcale";"W najwy¿szym stopniu";0;10;172;5,337;2,702
"ziemniak.swiezosc";54;"ziemniak.swiezosc";"W jakim stopniu œwie¿oœæ jest wa¿na dla Pana Pani przy ich wyborze ";"Wcale";"W najwy¿szym stopniu";3;10;172;8,605;1,524
"ziemniak.rodzaj";55;"ziemniak.rodzaj";"W jakim stopniu odmiana ziemniaków jest wa¿na dla Pana Pani przy ich wyborze ";"Wcale";"W najwy¿szym stopniu";0;10;172;4,884;2,991
"ziemniak.kraj";56;"ziemniak.kraj";"W jakim stopniu kraj pochodzenia jest wa¿ny dla Pana Pani przy ich wyborze ";"Wcale";"W najwy¿szym stopniu";0;10;172;5,715;2,959
"ziemniak.barwa";57;"ziemniak.barwa";"W jakim stopniu kolor skórki jest wa¿ny dla Pana Pani przy ich wyborze ";"Wcale";"W najwy¿szym stopniu";0;10;172;5,297;2,699
